current_attendance,total_classes,attended,needed_classes
8.333333333333332,48,4,128
35.84905660377358,53,19,83
46.03174603174603,63,29,73
76.2589928057554,139,106,0
88.67924528301887,159,141,0
95.91836734693877,147,141,0
26.923076923076923,78,21,150
99.28057553956835,139,138,0
8.108108108108109,74,6,198
73.52941176470588,136,100,8
78.04878048780488,41,32,0
61.53846153846154,130,80,70
37.88819875776397,161,61,239
37.878787878787875,66,25,98
87.3015873015873,63,55,0
58.620689655172406,145,85,95
13.513513513513514,37,5,91
32.6530612244898,98,32,166
15.384615384615385,26,4,62
15.384615384615385,169,26,403
9.285714285714286,140,13,368
40.98360655737705,61,25,83
54.054054054054056,74,40,62
1.9047619047619049,105,2,307
29.268292682926827,82,24,150
10.919540229885058,174,19,446
97.47474747474747,198,193,0
8.552631578947368,152,13,404
99.1869918699187,123,122,0
43.54838709677419,186,81,234
74.22680412371135,194,144,6
72.97297297297297,37,27,3
36.36363636363637,55,20,85
10.948905109489052,137,15,351
73.33333333333333,15,11,1
44.88636363636363,176,79,212
45.80152671755725,131,60,153
46.2962962962963,108,50,124
46.666666666666664,15,7,17
4.9504950495049505,101,5,283
64.0,25,16,11
99.49748743718592,199,198,0
43.75,16,7,20
72.09302325581395,43,31,5
8.823529411764707,34,3,90
17.964071856287426,167,30,381
45.78313253012048,83,38,97
94.73684210526315,133,126,0
43.47826086956522,23,10,29
1.910828025477707,157,3,459
35.25179856115108,139,49,221
72.25130890052355,191,138,21
45.54455445544555,101,46,119
83.73983739837398,123,103,0
52.38095238095239,126,66,114
78.99159663865547,119,94,0
21.390374331550802,187,40,401
78.26086956521739,23,18,0
43.90243902439025,82,36,102
77.41935483870968,124,96,0
17.391304347826086,92,16,212
0.7407407407407408,135,1,401
64.15094339622641,159,102,69
55.26315789473685,76,42,60
52.34375,128,67,116
87.8048780487805,82,72,0
14.399999999999999,125,18,303
2.0618556701030926,97,2,283
21.91780821917808,73,16,155
22.033898305084744,59,13,125
14.583333333333334,96,14,232
11.510791366906476,139,16,353
9.25925925925926,54,5,142
44.166666666666664,120,53,148
34.285714285714285,35,12,57
25.954198473282442,131,34,257
86.88524590163934,61,53,0
0.0,21,0,63
31.40495867768595,121,38,211
53.383458646616546,133,71,115
27.683615819209038,177,49,335
44.827586206896555,116,52,140
80.11049723756905,181,145,0
59.199999999999996,125,74,79
56.25,64,36,48
22.388059701492537,67,15,141
48.95104895104895,143,70,149
23.893805309734514,113,27,231
85.41666666666666,144,123,0
78.57142857142857,56,44,0
92.3076923076923,26,24,0
35.714285714285715,70,25,110
42.0,100,42,132
0.0,82,0,246
98.50746268656717,134,132,0
62.7906976744186,129,81,63
98.0392156862745,51,50,0
50.847457627118644,59,30,57
55.55555555555556,117,65,91
21.62162162162162,37,8,79
57.89473684210527,19,11,13
62.857142857142854,35,22,17
95.78947368421052,95,91,0
11.627906976744185,129,15,327
72.97297297297297,37,27,3
41.76470588235294,170,71,226
64.9425287356322,174,113,70
25.806451612903224,31,8,61
82.8125,192,159,0
89.5104895104895,143,128,0
55.61224489795919,196,109,152
82.41206030150754,199,164,0
79.43925233644859,107,85,0
39.8936170212766,188,75,264
68.04733727810651,169,115,47
16.8141592920354,113,19,263
41.02564102564102,39,16,53
38.91891891891892,185,72,267
41.509433962264154,106,44,142
14.705882352941178,34,5,82
46.25,80,37,92
22.857142857142858,140,32,292
84.21052631578947,57,48,0
11.494252873563218,87,10,221
73.91304347826086,23,17,1
18.07909604519774,177,32,403
96.15384615384616,182,175,0
18.181818181818183,11,2,25
27.77777777777778,36,10,68
63.84615384615384,130,83,58
44.0,125,55,155
92.12121212121212,165,152,0
28.000000000000004,25,7,47
56.310679611650485,103,58,77
57.89473684210527,19,11,13
49.06832298136646,161,79,167
81.13207547169812,53,43,0
53.38983050847458,118,63,102
70.67669172932331,133,94,23
65.54054054054053,148,97,56
56.481481481481474,108,61,80
93.28358208955224,134,125,0
60.97560975609756,41,25,23
23.015873015873016,126,29,262
75.30864197530865,81,61,0
100.0,24,24,0
13.88888888888889,108,15,264
67.9245283018868,53,36,15
6.451612903225806,62,4,170
59.09090909090909,22,13,14
20.388349514563107,103,21,225
63.63636363636363,44,28,20
41.05960264900662,151,62,205
85.29411764705883,34,29,0
43.90243902439025,41,18,51
58.730158730158735,63,37,41
58.58585858585859,99,58,65
19.047619047619047,126,24,282
17.24137931034483,58,10,134
39.682539682539684,126,50,178
31.125827814569533,151,47,265
13.88888888888889,36,5,88
16.176470588235293,68,11,160
51.85185185185185,189,98,175
57.692307692307686,26,15,18
40.31413612565445,191,77,265
53.714285714285715,175,94,149
3.5175879396984926,199,7,569
96.81528662420382,157,152,0
66.66666666666666,12,8,4
38.01652892561984,121,46,179
96.73913043478261,92,89,0
38.36477987421384,159,61,233
69.00584795321637,171,118,41
14.213197969543149,197,28,479
82.45614035087719,57,47,0
6.508875739644971,169,11,463
73.33333333333333,15,11,1
9.090909090909092,33,3,87
21.794871794871796,78,17,166
74.74747474747475,198,148,2
10.828025477707007,157,17,403
70.37037037037037,27,19,5
85.31073446327684,177,151,0
48.148148148148145,27,13,29
38.73873873873874,111,43,161
68.5,200,137,52
74.02597402597402,154,114,6
36.0,25,9,39
50.0,18,9,18
62.251655629139066,151,94,77
73.25581395348837,86,63,6
85.02994011976048,167,142,0
88.59649122807018,114,101,0
87.16216216216216,148,129,0
38.54166666666667,96,37,140
8.333333333333332,192,16,512
84.61538461538461,117,99,0
13.138686131386862,137,18,339
49.18032786885246,61,30,63
35.25179856115108,139,49,221
14.583333333333334,48,7,116
65.11627906976744,43,28,17
66.21621621621621,74,49,26
83.05084745762711,118,98,0
51.93370165745856,181,94,167
58.06451612903226,62,36,42
81.3953488372093,129,105,0
56.666666666666664,30,17,22
79.13043478260869,115,91,0
42.95302013422819,149,64,191
15.686274509803921,102,16,242
65.48223350253807,197,129,75
88.31168831168831,154,136,0
35.051546391752574,97,34,155
78.64583333333334,192,151,0
75.0,36,27,0
48.8,125,61,131
28.205128205128204,39,11,73
90.0,90,81,0
70.37037037037037,27,19,5
60.0,20,12,12
50.0,134,67,134
40.0,40,16,56
24.137931034482758,87,21,177
71.91780821917808,146,105,18
32.608695652173914,92,30,156
10.317460317460316,126,13,326
12.5,16,2,40
46.42857142857143,28,13,32
50.0,50,25,50
2.727272727272727,110,3,318
5.7324840764331215,157,9,435
7.246376811594203,69,5,187
61.59420289855072,138,85,74
17.647058823529413,17,3,39
58.82352941176471,102,60,66
82.43243243243244,148,122,0
63.41463414634146,164,104,76
98.81656804733728,169,167,0
83.66013071895425,153,128,0
24.581005586592177,179,44,361
14.285714285714285,14,2,34
74.4,125,93,3
22.62773722627737,137,31,287
19.879518072289155,166,33,366
17.24137931034483,58,10,134
97.36842105263158,152,148,0
88.40579710144928,69,61,0
85.71428571428571,189,162,0
91.33858267716536,127,116,0
28.71287128712871,101,29,187
81.94444444444444,72,59,0
92.40506329113924,158,146,0
51.28205128205128,39,20,37
10.218978102189782,137,14,355
2.666666666666667,150,4,434
81.25,32,26,0
50.0,48,24,48
52.84974093264248,193,102,171
3.278688524590164,122,4,350
25.0,168,42,336
48.717948717948715,117,57,123
77.37226277372264,137,106,0
42.028985507246375,69,29,91
96.36363636363636,110,106,0
29.88505747126437,87,26,157
60.97560975609756,164,100,92
32.55813953488372,86,28,146
40.243902439024396,82,33,114
88.88888888888889,36,32,0
73.78048780487805,164,121,8
82.53968253968253,63,52,0
89.13043478260869,92,82,0
39.53488372093023,129,51,183
74.54545454545455,165,123,3
15.463917525773196,194,30,462
86.95652173913044,69,60,0
78.06122448979592,196,153,0
40.625,96,39,132
92.72727272727272,110,102,0
55.08474576271186,118,65,94
31.57894736842105,76,24,132
91.17647058823529,34,31,0
90.3409090909091,176,159,0
45.45454545454545,77,35,91
53.591160220994475,181,97,155
19.607843137254903,102,20,226
8.333333333333332,132,11,352
19.444444444444446,36,7,80
21.518987341772153,158,34,338
7.236842105263158,152,11,412
0.6802721088435374,147,1,437
89.6774193548387,155,139,0
1.7857142857142856,168,3,492
27.27272727272727,110,30,210
8.783783783783784,148,13,392
28.735632183908045,87,25,161
22.641509433962266,53,12,111
10.344827586206897,29,3,75
7.28476821192053,151,11,409
34.862385321100916,109,38,175
97.41935483870968,155,151,0
40.65934065934066,91,37,125
5.113636363636364,176,9,492
97.22222222222221,36,35,0
80.2547770700637,157,126,0
53.92156862745098,102,55,86
4.132231404958678,121,5,343
11.855670103092782,194,23,490
85.9504132231405,121,104,0
10.236220472440944,127,13,329
73.07692307692307,78,57,6
64.95726495726495,117,76,47
68.30985915492957,142,97,38
98.4126984126984,126,124,0
87.5,168,147,0
56.71641791044776,134,76,98
25.196850393700785,127,32,253
78.28571428571428,175,137,0
70.94594594594594,148,105,24
1.6666666666666667,60,1,176
39.85507246376812,138,55,194
13.131313131313133,198,26,490
55.00000000000001,40,22,32
14.012738853503185,157,22,383
29.015544041450774,193,56,355
28.57142857142857,161,46,299
92.85714285714286,14,13,0
89.0625,64,57,0
36.08247422680412,97,35,151
54.310344827586206,116,63,96
55.55555555555556,27,15,21
90.9090909090909,44,40,0
28.37837837837838,74,21,138
72.72727272727273,55,40,5
25.0,24,6,48
4.0,50,2,142
65.06849315068493,146,95,58
73.13432835820896,67,49,5
74.86338797814209,183,137,1
97.2972972972973,185,180,0
72.72727272727273,11,8,1
73.91304347826086,23,17,1
24.390243902439025,82,20,166
68.08510638297872,94,64,26
16.541353383458645,133,22,311
79.38144329896907,97,77,0
55.55555555555556,18,10,14
41.284403669724774,109,45,147
65.4320987654321,162,106,62
100.0,25,25,0
66.66666666666666,162,108,54
71.73913043478261,92,66,12
16.822429906542055,107,18,249
73.68421052631578,19,14,1
72.63157894736842,95,69,9
12.222222222222221,90,11,226
60.17699115044248,113,68,67
55.55555555555556,144,80,112
5.714285714285714,35,2,97
3.79746835443038,79,3,225
89.0625,128,114,0
30.0,10,3,18
95.04950495049505,101,96,0
22.22222222222222,27,6,57
29.82456140350877,57,17,103
19.841269841269842,126,25,278
58.69565217391305,46,27,30
20.175438596491226,114,23,250
17.97752808988764,178,32,406
14.035087719298245,114,16,278
0.0,90,0,270
45.90163934426229,183,84,213
42.857142857142854,70,30,90
16.666666666666664,72,12,168
90.9090909090909,11,10,0
10.909090909090908,165,18,423
52.32558139534884,86,45,78
85.0,20,17,0
62.295081967213115,61,38,31
55.33980582524271,103,57,81
67.24137931034483,174,117,54
54.87804878048781,82,45,66
40.963855421686745,83,34,113
45.67901234567901,81,37,95
70.0,10,7,2
14.285714285714285,126,18,306
0.0,21,0,63
5.555555555555555,180,10,500
5.263157894736842,19,1,53
56.52173913043478,23,13,17
7.575757575757576,66,5,178
50.0,46,23,46
80.74866310160428,187,151,0
52.5,40,21,36
36.54822335025381,197,72,303
84.81012658227847,158,134,0
69.10569105691057,123,85,29
22.093023255813954,86,19,182
60.810810810810814,74,45,42
80.64516129032258,124,100,0
17.80821917808219,73,13,167
13.541666666666666,192,26,472
97.11538461538461,104,101,0
78.69822485207101,169,133,0
24.043715846994534,183,44,373
10.679611650485436,103,11,265
0.0,125,0,375
70.28985507246377,138,97,26
59.01639344262295,122,72,78
96.93877551020408,98,95,0
21.374045801526716,131,28,281
30.061349693251532,163,49,293
79.27927927927928,111,88,0
55.932203389830505,118,66,90
28.387096774193548,155,44,289
63.76811594202898,138,88,62
86.8421052631579,38,33,0
100.0,12,12,0
13.559322033898304,177,24,435
17.647058823529413,34,6,78
90.9090909090909,99,90,0
50.74626865671642,67,34,65
91.11111111111111,90,82,0
54.761904761904766,42,23,34
1.2269938650306749,163,2,481
73.17073170731707,123,90,9
48.30508474576271,118,57,126
100.0,110,110,0
92.3076923076923,52,48,0
36.7816091954023,174,64,266
21.21212121212121,165,35,355
28.930817610062892,159,46,293
53.84615384615385,182,98,154
96.61016949152543,59,57,0
56.60377358490566,53,30,39
88.46153846153845,78,69,0
49.333333333333336,150,74,154
1.5873015873015872,189,3,555
70.58823529411765,17,12,3
50.0,34,17,34
11.979166666666668,192,23,484
54.966887417218544,151,83,121
79.02097902097903,143,113,0
95.83333333333334,120,115,0
94.28571428571428,35,33,0
17.02127659574468,47,8,109
86.36363636363636,132,114,0
98.30508474576271,177,174,0
39.247311827956985,186,73,266
75.86206896551724,174,132,0
32.23684210526316,152,49,260
22.77777777777778,180,41,376
60.16260162601627,123,74,73
84.46601941747572,103,87,0
24.0,25,6,51
18.902439024390244,164,31,368
67.3469387755102,49,33,15
93.26923076923077,104,97,0
63.04347826086957,92,58,44
97.43589743589743,39,38,0
34.69387755102041,98,34,158
100.0,51,51,0
56.02094240837696,191,107,145
12.037037037037036,108,13,272
83.87096774193549,93,78,0
92.24806201550388,129,119,0
64.58333333333334,96,62,40
24.324324324324326,148,36,300
23.214285714285715,56,13,116
96.92307692307692,65,63,0
41.66666666666667,72,30,96
45.83333333333333,192,88,224
87.14285714285714,70,61,0
70.99236641221374,131,93,21
95.72192513368985,187,179,0
79.41176470588235,34,27,0
31.666666666666664,60,19,104
65.1685393258427,89,58,35
60.10362694300518,193,116,115
65.38461538461539,130,85,50
52.02312138728323,173,90,159
58.82352941176471,17,10,11
81.48148148148148,27,22,0
69.23076923076923,13,9,3
92.3076923076923,65,60,0
24.489795918367346,98,24,198
81.31868131868131,91,74,0
57.286432160804026,199,114,141
28.947368421052634,38,11,70
38.84892086330935,139,54,201
40.8,125,51,171
16.363636363636363,55,9,129
92.5,40,37,0
95.0,40,38,0
86.48648648648648,185,160,0
80.66666666666666,150,121,0
46.06741573033708,178,82,206
76.19047619047619,42,32,0
20.754716981132077,106,22,230
70.83333333333334,48,34,8
28.125,32,9,60
56.25,112,63,84
94.73684210526315,76,72,0
45.52845528455284,123,56,145
34.48275862068966,58,20,94
83.72093023255815,43,36,0
75.67567567567568,111,84,0
72.6027397260274,146,106,14
74.15730337078652,178,132,6
27.31958762886598,194,53,370
3.571428571428571,84,3,240
15.88235294117647,170,27,402
89.1891891891892,37,33,0
65.21739130434783,46,30,18
67.42857142857143,175,118,53
22.22222222222222,180,40,380
58.44155844155844,77,45,51
90.56603773584906,106,96,0
25.0,12,3,24
24.324324324324326,37,9,75
7.865168539325842,89,7,239
82.92682926829268,82,68,0
22.916666666666664,48,11,100
72.8395061728395,81,59,7
13.20754716981132,159,21,393
63.49206349206349,126,80,58
6.451612903225806,155,10,425
17.647058823529413,34,6,78
1.9230769230769231,52,1,152
96.7741935483871,62,60,0
88.0794701986755,151,133,0
20.689655172413794,58,12,126
34.645669291338585,127,44,205
33.77483443708609,151,51,249
97.1590909090909,176,171,0
24.0,150,36,306
77.55102040816327,49,38,0
86.20689655172413,58,50,0
42.857142857142854,21,9,27
27.73722627737226,137,38,259
13.043478260869565,46,6,114
26.89075630252101,119,32,229
2.312138728323699,173,4,503
86.11111111111111,108,93,0
80.43478260869566,46,37,0
71.21212121212122,132,94,20
26.13065326633166,199,52,389
82.45614035087719,114,94,0
5.454545454545454,55,3,153
69.23076923076923,156,108,36
31.818181818181817,176,56,304
12.352941176470589,170,21,426
22.535211267605636,71,16,149
21.686746987951807,83,18,177
72.02797202797203,143,103,17
14.634146341463413,41,6,99
94.73684210526315,171,162,0
25.0,16,4,32
53.40909090909091,176,94,152
60.63829787234043,188,114,108
45.55555555555556,180,82,212
59.183673469387756,98,58,62
30.0,10,3,18
12.903225806451612,31,4,77
60.588235294117645,170,103,98
16.0,25,4,59
82.08955223880598,134,110,0
79.34782608695652,92,73,0
43.05555555555556,72,31,92
39.33333333333333,150,59,214
18.181818181818183,22,4,50
100.0,114,114,0
55.00000000000001,40,22,32
43.39622641509434,53,23,67
47.019867549668874,151,71,169
41.66666666666667,12,5,16
78.57142857142857,140,110,0
23.91304347826087,184,44,376
26.804123711340207,97,26,187
20.77922077922078,77,16,167
52.63157894736842,152,80,136
1.639344262295082,61,1,179
33.33333333333333,183,61,305
78.82352941176471,170,134,0
12.994350282485875,177,23,439
66.66666666666666,36,24,12
60.46511627906976,129,78,75
43.83561643835616,73,32,91
93.16239316239316,117,109,0
0.0,136,0,408
92.54658385093167,161,149,0
1.9230769230769231,52,1,152
52.83018867924528,53,28,47
78.33333333333333,120,94,0
30.76923076923077,195,60,345
5.64516129032258,124,7,344
66.66666666666666,12,8,4
48.68421052631579,76,37,80
15.267175572519085,131,20,313
0.0,12,0,36
30.76923076923077,195,60,345
15.862068965517242,145,23,343
0.0,33,0,99
81.57894736842105,38,31,0
0.9009009009009009,111,1,329
37.244897959183675,196,73,296
90.51724137931035,116,105,0
73.01587301587301,126,92,10
33.75,80,27,132
75.79617834394905,157,119,0
0.0,32,0,96
70.27027027027027,74,52,14
56.42857142857143,140,79,104
45.0,60,27,72
18.11023622047244,127,23,289
61.53846153846154,39,24,21
25.71428571428571,35,9,69
21.09375,128,27,276
20.192307692307693,104,21,228
96.19047619047619,105,101,0
25.0,12,3,24
22.22222222222222,27,6,57
51.61290322580645,31,16,29
2.3255813953488373,43,1,125
36.64596273291926,161,59,247
96.96969696969697,33,32,0
55.55555555555556,36,20,28
39.39393939393939,165,65,235
8.695652173913043,115,10,305
33.33333333333333,189,63,315
55.90551181102362,127,71,97
87.20930232558139,86,75,0
37.17948717948718,78,29,118
46.15384615384615,91,42,105
39.39393939393939,33,13,47
52.17391304347826,161,84,147
43.333333333333336,180,78,228
20.0,100,20,220
67.71653543307087,127,86,37
33.33333333333333,42,14,70
57.4585635359116,181,104,127
20.8,125,26,271
47.540983606557376,122,58,134
63.85542168674698,83,53,37
7.5,80,6,216
42.44604316546763,139,59,181
27.142857142857142,70,19,134
26.519337016574585,181,48,351
42.15686274509804,102,43,134
76.0,200,152,0
67.05882352941175,85,57,27
86.3013698630137,146,126,0
70.16129032258065,124,87,24
8.333333333333332,12,1,32
80.45977011494253,174,140,0
16.80672268907563,119,20,277
83.33333333333334,156,130,0
5.405405405405405,37,2,103
38.144329896907216,97,37,143
21.48148148148148,135,29,289
86.25,80,69,0
53.246753246753244,77,41,67
64.65517241379311,116,75,48
52.0,25,13,23
21.428571428571427,154,33,330
84.24657534246576,146,123,0
48.53801169590643,171,83,181
7.746478873239436,142,11,382
86.76470588235294,68,59,0
7.5,40,3,108
9.722222222222223,72,7,188
28.350515463917525,194,55,362
84.84848484848484,33,28,0
41.578947368421055,190,79,254
18.592964824120603,199,37,449
12.195121951219512,164,20,412
72.3076923076923,65,47,7
62.5,16,10,8
39.67391304347826,184,73,260
91.66666666666666,12,11,0
48.45360824742268,97,47,103
88.1578947368421,76,67,0
13.157894736842104,38,5,94
42.70833333333333,96,41,124
35.294117647058826,187,66,297
31.63265306122449,98,31,170
100.0,88,88,0
76.96629213483146,178,137,0
42.1875,64,27,84
56.52173913043478,46,26,34
79.1907514450867,173,137,0
98.07692307692307,156,153,0
27.683615819209038,177,49,335
29.1044776119403,134,39,246
82.53012048192771,166,137,0
96.07843137254902,51,49,0
36.84210526315789,38,14,58
13.559322033898304,59,8,145
80.3921568627451,51,41,0
39.743589743589745,78,31,110
56.98924731182796,93,53,67
56.770833333333336,192,109,140
95.23809523809523,21,20,0
39.39393939393939,33,13,47
49.45054945054945,91,45,93
51.533742331288344,163,84,153
20.496894409937887,161,33,351
72.68041237113401,194,141,18
74.46808510638297,47,35,1
91.92546583850931,161,148,0
3.4482758620689653,116,4,332
20.5,200,41,436
7.368421052631578,95,7,257
58.78787878787879,165,97,107
9.25925925925926,108,10,284
53.57142857142857,56,30,48
13.333333333333334,30,4,74
65.51724137931035,87,57,33
38.88888888888889,180,70,260
10.526315789473683,38,4,98
23.684210526315788,38,9,78
38.73873873873874,111,43,161
58.16326530612245,98,57,66
49.47916666666667,192,95,196
9.090909090909092,11,1,29
57.05521472392638,163,93,117
93.75,16,15,0
79.54545454545455,88,70,0
78.125,96,75,0
95.93908629441624,197,189,0
75.5,200,151,0
95.23809523809523,63,60,0
90.2439024390244,41,37,0
85.71428571428571,35,30,0
36.92307692307693,65,24,99
16.923076923076923,65,11,151
86.5,200,173,0
56.61764705882353,136,77,100
94.73684210526315,19,18,0
32.926829268292686,82,27,138
83.6734693877551,196,164,0
19.696969696969695,66,13,146
32.94117647058823,170,56,286
14.583333333333334,144,21,348
76.68393782383419,193,148,0
15.343915343915343,189,29,451
53.714285714285715,175,94,149
53.956834532374096,139,75,117
16.666666666666664,36,6,84
76.26262626262627,198,151,0
3.9603960396039604,101,4,287
26.31578947368421,38,10,74
0.6451612903225806,155,1,461
41.66666666666667,60,25,80
28.846153846153843,52,15,96
12.5,16,2,40
9.693877551020408,196,19,512
89.79591836734694,147,132,0
72.22222222222221,36,26,4
18.27956989247312,93,17,211
93.27731092436974,119,111,0
88.37209302325581,43,38,0
25.0,100,25,200
80.83333333333333,120,97,0
85.0,120,102,0
33.78378378378378,148,50,244
81.0126582278481,158,128,0
71.11111111111111,45,32,7
74.50980392156863,51,38,1
90.9090909090909,154,140,0
66.66666666666666,168,112,56
20.43010752688172,93,19,203
14.736842105263156,95,14,229
34.48275862068966,58,20,94
10.833333333333334,120,13,308
91.17647058823529,34,31,0
72.66187050359713,139,101,13
5.88235294117647,170,10,470
86.18421052631578,152,131,0
77.27272727272727,44,34,0
97.87234042553192,141,138,0
94.11764705882352,136,128,0
85.71428571428571,21,18,0
23.140495867768596,121,28,251
32.57142857142858,175,57,297
3.076923076923077,65,2,187
0.6451612903225806,155,1,461
79.16666666666666,120,95,0
35.507246376811594,138,49,218
0.8,125,1,371
5.555555555555555,36,2,100
44.52054794520548,146,65,178
97.14285714285714,105,102,0
10.638297872340425,141,15,363
25.0,80,20,160
29.347826086956523,184,54,336
51.515151515151516,33,17,31
90.47619047619048,21,19,0
34.01360544217687,147,50,241
24.22360248447205,161,39,327
88.46153846153845,26,23,0
93.5251798561151,139,130,0
29.03225806451613,31,9,57
99.07407407407408,108,107,0
78.28282828282829,198,155,0
12.592592592592592,135,17,337
75.36231884057972,69,52,0
37.28813559322034,177,66,267
90.7103825136612,183,166,0
3.3333333333333335,30,1,86
85.3211009174312,109,93,0
71.64179104477611,67,48,9
74.8663101604278,187,140,1
93.58974358974359,156,146,0
66.66666666666666,42,28,14
5.263157894736842,76,4,212
88.81578947368422,152,135,0
55.95854922279793,193,108,147
85.33333333333334,150,128,0
58.46153846153847,65,38,43
85.07462686567165,67,57,0
38.69346733668342,199,77,289
22.093023255813954,86,19,182
25.862068965517242,174,45,342
95.8974358974359,195,187,0
31.97278911564626,147,47,253
40.16393442622951,122,49,170
62.04379562043796,137,85,71
21.73913043478261,115,25,245
60.78431372549019,153,93,87
62.5,152,95,76
41.37931034482759,145,60,195
47.16981132075472,53,25,59
84.34782608695653,115,97,0
11.052631578947368,190,21,486
61.29032258064516,93,57,51
28.08988764044944,89,25,167
17.46031746031746,63,11,145
59.06432748538012,171,101,109
48.466257668711656,163,79,173
90.96385542168674,166,151,0
61.37931034482759,145,89,79
61.53846153846154,13,8,7
50.0,28,14,28
75.0,16,12,0
70.1492537313433,134,94,26
97.54098360655738,122,119,0
78.43137254901961,102,80,0
12.587412587412588,143,18,357
25.454545454545453,55,14,109
59.166666666666664,120,71,76
8.771929824561402,57,5,151
19.230769230769234,104,20,232
23.863636363636363,176,42,360
8.982035928143713,167,15,441
22.68041237113402,194,44,406
48.05194805194805,77,37,83
20.0,35,7,77
38.028169014084504,71,27,105
83.62573099415205,171,143,0
65.54054054054053,148,97,56
8.695652173913043,23,2,61
